Mon Apr 3 12:20:31 PDT 2017 Field CCODE3 not found in file
Mon Apr 3 12:22:22 PDT 2017 Field CCODE3 not found in file
Mon Apr 3 12:24:26 PDT 2017 Field CCODE3 not found in file
Mon Apr 3 12:24:30 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:24:30 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 12:24:31 PDT 2017 No response from SRU. Error: 400
Mon Apr 3 12:25:55 PDT 2017 Field CCODE3 not found in file
Mon Apr 3 12:25:57 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:25:57 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 12:35:10 PDT 2017 Field CCODE3 not found in file
Mon Apr 3 12:35:11 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:35:11 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 12:37:00 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:37:00 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 12:39:07 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:39:07 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 12:44:01 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:44:01 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 12:45:45 PDT 2017 barcode for i3462592 not found in file
Mon Apr 3 12:45:45 PDT 2017 barcode for i4028200 not found in file
Mon Apr 3 13:01:35 PDT 2017 barcode for i2488769 not found in file
Mon Apr 3 13:04:00 PDT 2017 barcode for i2488769 not found in file
Mon Apr 3 13:04:21 PDT 2017 barcode for i2484389 not found in file
Mon Apr 3 13:04:21 PDT 2017 barcode for i3473190 not found in file
Mon Apr 3 13:04:21 PDT 2017 barcode for i2485522 not found in file
Mon Apr 3 13:04:21 PDT 2017 barcode for i2484385 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3473189 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2484387 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3473188 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3473191 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3473148 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2484759 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2484381 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3471763 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3564802 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3473150 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3543199 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3473147 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2484757 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2485519 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i3466110 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2595113 not found in file
Mon Apr 3 13:04:22 PDT 2017 barcode for i2595116 not found in file
Mon Apr 3 13:04:23 PDT 2017 barcode for i3543200 not found in file
